corp_name,year,stock_code,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계
DH오토리드,2023,290120,-7414447088.5,205981707348.5,113040964112.0,12129609960.5,75891799523.5,188932763635.5
DH오토리드,2024,290120,3277678810.5,224023509638.5,141323012702.5,11769613664.0,82908993042.0,224232005744.5
DH오토웨어,2022,025440,-3932428714.0,374539387864.0,80078532085.0,1575375729.5,59860682449.0,139939214534.0
DH오토웨어,2023,025440,3853154390.0,390889230034.5,106553108726.5,3228636406.5,70441465535.5,176994574262.0
DH오토웨어,2024,025440,2708113466.5,371563826844.5,198226721749.5,2175868192.0,63943731619.0,262170453368.5
DKME,2022,015590,11278003463.0,105673907331.0,82860308311.0,12936915150.0,109826948997.0,192687257308.0
DKME,2023,015590,12751211026.0,137250775712.0,93839570720.0,12893286921.0,126275057117.0,220114627837.0
DKME,2024,015590,2304692744.0,136623566311.0,87187934607.0,10636259624.5,126690831442.5,213878766049.5
DL,2022,000210,124517093244.0,2699345158476.5,4003459082865.0,241668911338.0,3830596054412.0,7834055137277.0
DL,2023,000210,-19456101001.5,2564470975570.0,4062612125056.0,120881845212.0,3820487454827.5,7883099579883.5
DL,2024,000210,147073424770.0,2862787848442.0,4104030486447.0,251841600509.0,4035762448874.5,8139792935321.5
DL이앤씨,2022,375500,370882703819.5,6386241845969.5,3660332856446.0,449773008502.0,4303043920651.5,7963376777097.5
DL이앤씨,2023,375500,176941135207.5,6579585315616.5,3806295719521.5,276229084263.5,4399271631654.5,8205567351176.0
DL이앤씨,2024,375500,213929984128.5,6812774200156.0,3859152036004.5,268226134852.0,4500391329496.0,8359543365500.5
DMS,2022,068790,31899570896.5,298947933079.5,111238384471.0,53344311734.0,298825984478.0,410064368949.0
DMS,2023,068790,27274192046.0,140732642447.5,117929347947.0,16804493110.0,322904850283.0,440834198230.0
DMS,2024,068790,30159731199.5,138041711669.0,124173864591.0,18608356358.5,341346323097.0,465520187688.0
DN오토모티브,2022,007340,111384665953.0,1964353961355.5,2212879868864.0,259020079661.5,899204138387.0,3112084007251.0
DN오토모티브,2023,007340,155508661429.0,1973338526609.5,2074607895881.5,273370509573.5,1036460809031.5,3111068704913.0
DN오토모티브,2024,007340,301073696500.0,2267605758000.0,1738201956000.0,432097783500.0,1718689948500.0,3456891904500.0
DRB동일,2022,004840,-683916748.0,661814016477.0,265578087502.5,5798535590.0,338211022981.0,603789110483.5
DRB동일,2023,004840,14910286170.0,737777767832.0,260328901004.0,19545975941.0,350880714256.5,611209615260.5
DRB동일,2024,004840,8304076019.5,384400244259.0,254330176990.5,11960391548.5,363011090736.5,617341267727.0
DSC인베스트먼트,2023,241520,14632225728.0,31850202339.0,32037571776.5,17721756784.0,105522032184.5,137559603961.0
DSC인베스트먼트,2024,241520,10618839818.5,36654431871.5,41170749084.0,15461104341.5,112716558037.0,153887307121.0
DSR,2022,155660,21891044818.0,306931323243.5,128238456824.5,33426832272.5,193929820776.0,322168277600.5
DSR,2023,155660,15890537166.0,240656592772.0,99531985757.5,22107632823.5,208177034517.5,307709020275.0
DSR,2024,155660,13174644104.0,253644911099.5,100409435662.0,13815970268.0,221200692513.0,321610128175.0
