stock_code,year,year_end_price
39560,2024,3400
154040,2024,1121
58730,2024,2855
30210,2024,3135
23590,2024,17870
32190,2024,10160
323350,2024,5000
68240,2024,9000
145210,2024,1572
464580,2024,5510
19680,2024,2520
6370,2024,5250
8060,2024,6600
353200,2024,15500
490,2024,9220
20400,2024,6480
8830,2024,13150
48470,2024,3125
8110,2024,15040
4780,2024,3910
5750,2024,3655
17650,2024,6600
6570,2024,2605
389260,2024,11300
317850,2024,8850
290670,2024,17020
78140,2024,13440
65150,2024,145
1680,2024,19190
84690,2024,10180
36480,2024,9090
128820,2024,3265
117580,2024,8490
27830,2024,1810
104040,2024,826
129920,2024,3290
16710,2024,7030
438220,2024,2605
442310,2024,2095
457390,2024,2170
457630,2024,2095
471050,2024,2035
478780,2024,1998
482690,2024,1999
20180,2024,984
3540,2024,16070
45390,2024,3030
9190,2024,1541
108380,2024,12850
6580,2024,5320
14160,2024,1004
47040,2024,3105
3090,2024,21600
69620,2024,126400
7680,2024,4055
430,2024,3890
48910,2024,7640
5710,2024,5910
6340,2024,2975
3220,2024,14250
24890,2024,995
290380,2024,2300
2880,2024,1150
120240,2024,12880
3310,2024,1416
78600,2024,74800
12800,2024,1240
15230,2024,4980
96350,2024,308
140520,2024,2095
131220,2024,4630
10170,2024,854
54670,2024,6870
1070,2024,5310
23910,2024,26200
6650,2024,77700
1440,2024,11150
84010,2024,16620
1790,2024,2670
1130,2024,126400
3490,2024,22600
5880,2024,1674
3830,2024,104700
16090,2024,2335
69460,2024,1281
21040,2024,892
67080,2024,10940
298540,2024,9320
32860,2024,1197
161570,2024,113
214610,2024,1397
475560,2024,32000
192080,2024,53900
393890,2024,11090
299170,2024,1273
12510,2024,63700
224060,2024,4000
43090,2024,263
213420,2024,27750
317330,2024,29650
77360,2024,3850
4830,2024,6720
90410,2024,1505
263600,2024,4735
194480,2024,27700
263800,2024,4440
206560,2024,7160
261200,2024,5950
145720,2024,62200
67990,2024,4540
2150,2024,6540
6620,2024,4800
100130,2024,2420
5160,2024,4430
460850,2024,5950
75970,2024,2575
460860,2024,8000
86450,2024,16520
1230,2024,7370
23450,2024,31700
4140,2024,2165
99410,2024,3055
7590,2024,6180
5960,2024,3825
26960,2024,27350
2210,2024,4630
102260,2024,3745
33500,2024,14920
25950,2024,44850
640,2024,109800
170900,2024,58800
88130,2024,3585
28100,2024,13560
282690,2024,13500
41930,2024,5360
1520,2024,694
84670,2024,7350
82640,2024,4490
60380,2024,1391
79960,2024,17930
8970,2024,650
228340,2024,1762
88910,2024,1930
94170,2024,17990
49770,2024,31050
13120,2024,2355
18500,2024,1905
6040,2024,36950
30720,2024,5090
14820,2024,40300
111380,2024,18260
163560,2024,6780
109860,2024,8100
32960,2024,10400
4890,2024,39550
23790,2024,1012
2690,2024,1297
5290,2024,20900
25900,2024,8280
20,2024,6300
150,2024,255000
454910,2024,52300
241560,2024,41900
34020,2024,17550
131970,2024,25000
336260,2024,15960
16740,2024,3130
73190,2024,1920
176750,2024,8150
30350,2024,1430
203650,2024,3850
223250,2024,2950
60570,2024,1682
362990,2024,1780
192650,2024,7270
16670,2024,3615
187870,2024,11960
477760,2024,2035
456440,2024,2275
489730,2024,1933
24090,2024,11370
3160,2024,14480
1530,2024,49200
92200,2024,3680
110990,2024,12540
263690,2024,5680
214680,2024,2280
347850,2024,48600
377190,2024,2945
263720,2024,21000
376300,2024,36050
109740,2024,4435
31860,2024,1677
196490,2024,203
66900,2024,2310
92070,2024,8820
1880,2024,14350
39840,2024,16140
13570,2024,3875
24900,2024,2980
219550,2024,482
310870,2024,1615
210540,2024,11080
104460,2024,12900
79810,2024,5130
113810,2024,1590
43360,2024,1979
197140,2024,2325
68930,2024,6900
33130,2024,1649
105740,2024,7280
263020,2024,3010
290550,2024,7920
66670,2024,2940
187220,2024,3345
383930,2024,5800
131180,2024,839
315640,2024,5470
223310,2024,2595
317120,2024,3210
462510,2024,8160
42510,2024,2060
232680,2024,6220
418420,2024,3550
300120,2024,3905
171120,2024,2520
388790,2024,3140
214260,2024,14870
115390,2024,8660
171010,2024,2940
84650,2024,2490
217500,2024,1446
38390,2024,8590
294140,2024,2860
443250,2024,12000
228670,2024,5820
228850,2024,6150
412350,2024,3760
199550,2024,5320
281740,2024,10960
277810,2024,162700
215100,2024,3865
90360,2024,21900
238500,2024,259
108490,2024,23250
900260,2024,577
214310,2024,835
67730,2024,2815
71280,2024,17690
32350,2024,7650
89860,2024,29950
330590,2024,3050
400,2024,2015
23530,2024,54100
20150,2024,23600
280360,2024,111600
286940,2024,19370
4000,2024,39350
4990,2024,21800
5300,2024,112000
11170,2024,59800
71840,2024,7250
328130,2024,63800
38060,2024,1067
474170,2024,10370
141080,2024,109000
58470,2024,191600
16100,2024,2455
12700,2024,4020
302550,2024,3600
73570,2024,1450
377450,2024,12820
277070,2024,4030
42500,2024,4735
193250,2024,573
219420,2024,5500
439090,2024,14610
27740,2024,825
195500,2024,2810
357430,2024,1535
377480,2024,18920
305090,2024,9910
98120,2024,5120
424980,2024,6290
38290,2024,16480
1080,2024,29650
267980,2024,34750
5990,2024,8520
93520,2024,8230
100590,2024,4015
67280,2024,29900
72870,2024,10690
215200,2024,43800
133750,2024,2045
446540,2024,3090
235980,2024,4435
41920,2024,4790
14100,2024,2605
54180,2024,320
86900,2024,124800
78160,2024,11520
138040,2024,104000
408920,2024,1980
21880,2024,278
140410,2024,30850
241770,2024,8340
90370,2024,1308
59210,2024,3710
118000,2024,282
58110,2024,1937
17180,2024,1819
9900,2024,10310
12690,2024,2905
5360,2024,2140
70960,2024,3210
434480,2024,3280
80420,2024,2025
417970,2024,8900
80160,2024,9700
87260,2024,2015
101330,2024,2730
12860,2024,1361
363260,2024,1688
348030,2024,5090
250060,2024,2730
288980,2024,1250
142760,2024,1209
33200,2024,2940
333050,2024,1250
9680,2024,8440
118990,2024,9490
6920,2024,2930
38340,2024,1233
9580,2024,2835
1810,2024,1610
9200,2024,2050
33920,2024,6320
8420,2024,2320
279600,2024,11300
95500,2024,7620
254490,2024,10840
25560,2024,802
218150,2024,3835
7120,2024,861
396690,2024,2585
442900,2024,9950
357250,2024,2470
100790,2024,4580
412930,2024,2695
446190,2024,2155
448830,2024,2095
477380,2024,1977
477470,2024,2015
478440,2024,1965
482680,2024,1955
85620,2024,5270
6800,2024,8030
49950,2024,19660
207760,2024,1124
81660,2024,40300
2840,2024,188000
268280,2024,149600
107590,2024,78300
134380,2024,78800
351020,2024,6800
3650,2024,89400
59090,2024,8020
201490,2024,1790
452200,2024,4790
206640,2024,16780
18700,2024,1033
35620,2024,416
53030,2024,18340
301300,2024,3740
377740,2024,4710
64550,2024,18850
314930,2024,16100
86820,2024,21500
38460,2024,3080
251120,2024,13820
199730,2024,6400
86040,2024,3335
99430,2024,7310
32980,2024,570
308080,2024,2500
43150,2024,18880
323990,2024,10430
3610,2024,4270
267790,2024,4630
46310,2024,2195
35150,2024,13160
331520,2024,603
199480,2024,6490
438700,2024,2855
66410,2024,1153
2410,2024,2550
382900,2024,12830
206400,2024,2905
19010,2024,2045
177350,2024,202
457600,2024,4085
424760,2024,802
7210,2024,1838
250000,2024,9770
2760,2024,1086
3850,2024,10290
310210,2024,80000
6910,2024,2550
890,2024,488
226340,2024,1370
3000,2024,4590
1270,2024,27300
26940,2024,2395
14470,2024,1615
11390,2024,74500
5030,2024,486
8470,2024,3780
338220,2024,24200
100120,2024,21200
406820,2024,10510
99390,2024,5040
64480,2024,5560
288330,2024,3750
365900,2024,2710
89970,2024,6870
251630,2024,3960
18290,2024,40000
439580,2024,11840
33560,2024,2830
369370,2024,1657
126340,2024,28500
121800,2024,3320
148140,2024,109
82800,2024,6880
318410,2024,7770
2070,2024,877
100220,2024,4310
419540,2024,1670
146320,2024,8060
200780,2024,4670
413640,2024,7790
141000,2024,7160
90460,2024,17370
83650,2024,15440
445360,2024,2055
473370,2024,1975
65170,2024,234
86670,2024,7310
335890,2024,8050
230980,2024,229
138580,2024,15850
82920,2024,21150
54220,2024,535
42370,2024,6730
30790,2024,19
50090,2024,693
148780,2024,967
307870,2024,960
377030,2024,1267
32850,2024,4930
238200,2024,2945
93190,2024,4335
65450,2024,4100
44480,2024,474
5180,2024,81400
69540,2024,976
72950,2024,3525
266170,2024,600
451250,2024,9560
143240,2024,17460
466410,2024,16490
3960,2024,40600
8040,2024,964
7160,2024,34850
14710,2024,4625
6090,2024,8050
452430,2024,14170
419120,2024,5700
62040,2024,68600
122350,2024,1215
419050,2024,1699
14970,2024,3345
18310,2024,21000
12210,2024,1995
53700,2024,4220
9620,2024,2515
23600,2024,8170
1470,2024,942
28050,2024,16550
448730,2024,4600
6400,2024,247500
6660,2024,8890
425290,2024,2100
439250,2024,10360
468510,2024,1882
380320,2024,2040
28260,2024,114800
207940,2024,949000
32830,2024,94800
448740,2024,10030
18260,2024,127800
9150,2024,123800
5930,2024,53200
1360,2024,1538
10140,2024,11300
16360,2024,43500
68290,2024,14810
29780,2024,39450
810,2024,358500
6110,2024,33850
9300,2024,16710
145990,2024,47600
3230,2024,765000
36670,2024,6610
2170,2024,49700
272550,2024,16380
70,2024,65500
3720,2024,3700
2810,2024,12730
361670,2024,4565
54540,2024,4605
65570,2024,1740
5680,2024,9850
23000,2024,2345
4380,2024,8470
2450,2024,1165
32280,2024,2590
2290,2024,3890
4440,2024,3330
520,2024,13150
9770,2024,25600
37460,2024,8630
32750,2024,4160
54090,2024,721
5500,2024,18070
250,2024,148500
4690,2024,88800
24950,2024,4120
38500,2024,2945
437730,2024,9220
17480,2024,4475
10960,2024,3065
46390,2024,1300
4450,2024,30500
9470,2024,31200
