rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,유동자산,제 1 기,2023.12.31 현재,"10,421,126,356",-,-,2,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,자산총계,제 1 기,2023.12.31 현재,"10,421,126,356",-,-,6,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,유동부채,제 1 기,2023.12.31 현재,"1,650,000",-,-,8,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,비유동부채,제 1 기,2023.12.31 현재,"1,989,924,086",-,-,10,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,부채총계,제 1 기,2023.12.31 현재,"1,991,574,086",-,-,12,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,자본금,제 1 기,2023.12.31 현재,"423,000,000",-,-,15,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,이익잉여금,제 1 기,2023.12.31 현재,"11,923,387",-,-,19,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,BS,재무상태표,자본총계,제 1 기,2023.12.31 현재,"8,429,552,270",-,-,22,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,IS,손익계산서,영업이익,제 1 기,2023.05.03 ~ 2023.12.31,"-31,815,740",-,-,26,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 1 기,2023.05.03 ~ 2023.12.31,"15,073,815",-,-,28,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,IS,손익계산서,당기순이익,제 1 기,2023.05.03 ~ 2023.12.31,"11,923,387",-,-,30,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 1 기,2023.05.03 ~ 2023.12.31,"11,923,387",-,-,62,KRW
20240306000736,11011,2023,01761296,458610,OFS,재무제표,IS,손익계산서,총포괄손익,제 1 기,2023.05.03 ~ 2023.12.31,"11,923,387",-,-,64,KRW
