rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,유동자산,제 1 기,2024.12.31 현재,"14,389,802,915",-,-,2,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,비유동자산,제 1 기,2024.12.31 현재,0,-,-,4,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,자산총계,제 1 기,2024.12.31 현재,"14,389,802,915",-,-,6,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,유동부채,제 1 기,2024.12.31 현재,"1,000,000",-,-,8,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,비유동부채,제 1 기,2024.12.31 현재,"2,121,959,019",-,-,10,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,부채총계,제 1 기,2024.12.31 현재,"2,122,959,019",-,-,12,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,자본금,제 1 기,2024.12.31 현재,"621,000,000",-,-,15,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,이익잉여금,제 1 기,2024.12.31 현재,"-7,973,884",-,-,19,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,BS,재무상태표,자본총계,제 1 기,2024.12.31 현재,"12,266,843,896",-,-,22,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,IS,손익계산서,매출액,제 1 기,2024.09.02 ~ 2024.12.31,0,-,-,24,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,IS,손익계산서,영업이익,제 1 기,2024.09.02 ~ 2024.12.31,"-27,807,630",-,-,26,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 1 기,2024.09.02 ~ 2024.12.31,"-10,080,764",-,-,28,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,IS,손익계산서,당기순이익,제 1 기,2024.09.02 ~ 2024.12.31,"-7,973,884",-,-,30,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 1 기,2024.09.02 ~ 2024.12.31,"-7,973,884",-,-,62,KRW
20250312000713,11011,2024,01866926,492220,OFS,재무제표,IS,손익계산서,총포괄손익,제 1 기,2024.09.02 ~ 2024.12.31,"-7,973,884",-,-,64,KRW
