rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency
20250306000719,11011,2024,01814312,477530,OFS,재무제표,BS,재무상태표,유동자산,제 1 기,2024.12.31 현재,"9,560,941,143",-,-,2,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,BS,재무상태표,자산총계,제 1 기,2024.12.31 현재,"9,560,941,143",-,-,6,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,BS,재무상태표,비유동부채,제 1 기,2024.12.31 현재,"664,880,770",-,-,10,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,BS,재무상태표,부채총계,제 1 기,2024.12.31 현재,"664,880,770",-,-,12,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,BS,재무상태표,자본금,제 1 기,2024.12.31 현재,"481,000,000",-,-,15,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,BS,재무상태표,이익잉여금,제 1 기,2024.12.31 현재,"-42,710,180",-,-,19,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,BS,재무상태표,자본총계,제 1 기,2024.12.31 현재,"8,896,060,373",-,-,22,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,IS,손익계산서,영업이익,제 1 기,2024.02.20 ~ 2024.12.31,"-170,293,655",-,-,26,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 1 기,2024.02.20 ~ 2024.12.31,"-47,403,086",-,-,28,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,IS,손익계산서,당기순이익,제 1 기,2024.02.20 ~ 2024.12.31,"-42,710,180",-,-,30,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 1 기,2024.02.20 ~ 2024.12.31,"-42,710,180",-,-,62,KRW
20250306000719,11011,2024,01814312,477530,OFS,재무제표,IS,손익계산서,총포괄손익,제 1 기,2024.02.20 ~ 2024.12.31,"-42,710,180",-,-,64,KRW
