rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_amount,ord,currency
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,유동자산,제 2 기,2023.12.31 현재,"10,122,576,007",제 1 기,2022.12.31 현재,"9,831,152,861",-,2,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,자산총계,제 2 기,2023.12.31 현재,"10,122,576,007",제 1 기,2022.12.31 현재,"9,831,152,861",-,6,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,유동부채,제 2 기,2023.12.31 현재,"2,249,500",제 1 기,2022.12.31 현재,"5,009,530",-,8,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,비유동부채,제 2 기,2023.12.31 현재,"1,572,906,622",제 1 기,2022.12.31 현재,"1,513,533,032",-,10,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,부채총계,제 2 기,2023.12.31 현재,"1,575,156,122",제 1 기,2022.12.31 현재,"1,518,542,562",-,12,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,자본금,제 2 기,2023.12.31 현재,"421,000,000",제 1 기,2022.12.31 현재,"421,000,000",-,15,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,이익잉여금,제 2 기,2023.12.31 현재,"209,422,786",제 1 기,2022.12.31 현재,"-25,386,800",-,19,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,BS,재무상태표,자본총계,제 2 기,2023.12.31 현재,"8,547,419,885",제 1 기,2022.12.31 현재,"8,312,610,299",-,22,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,IS,손익계산서,매출액,제 2 기,2023.01.01 ~ 2023.12.31,0,제 1 기,2022.08.26 ~ 2022.12.31,0,-,24,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,IS,손익계산서,영업이익,제 2 기,2023.01.01 ~ 2023.12.31,"-37,810,520",제 1 기,2022.08.26 ~ 2022.12.31,"-31,802,816",-,26,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 2 기,2023.01.01 ~ 2023.12.31,"268,618,587",제 1 기,2022.08.26 ~ 2022.12.31,"-32,135,190",-,28,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,IS,손익계산서,당기순이익,제 2 기,2023.01.01 ~ 2023.12.31,"234,809,586",제 1 기,2022.08.26 ~ 2022.12.31,"-25,386,800",-,30,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 2 기,2023.01.01 ~ 2023.12.31,"234,809,586",제 1 기,2022.08.26 ~ 2022.12.31,"-25,386,800",-,62,KRW
20240315000765,11011,2023,01682740,442770,OFS,재무제표,IS,손익계산서,총포괄손익,제 2 기,2023.01.01 ~ 2023.12.31,"234,809,586",제 1 기,2022.08.26 ~ 2022.12.31,"-25,386,800",-,64,KRW
