rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,currency
20250304000397,11011,2024,01866528,489210,OFS,재무제표,BS,재무상태표,자산총계,제 1 기,2024.12.31 현재,"11,857,603,728",-,-,6,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,BS,재무상태표,부채총계,제 1 기,2024.12.31 현재,"1,584,844,556",-,-,12,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,BS,재무상태표,자본금,제 1 기,2024.12.31 현재,"518,000,000",-,-,15,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,BS,재무상태표,이익잉여금,제 1 기,2024.12.31 현재,"-16,317,592",-,-,19,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,BS,재무상태표,자본총계,제 1 기,2024.12.31 현재,"10,272,759,172",-,-,22,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,IS,손익계산서,매출액,제 1 기,2024.07.17 ~ 2024.12.31,0,-,-,24,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 1 기,2024.07.17 ~ 2024.12.31,"-18,110,534",-,-,28,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,IS,손익계산서,당기순이익,제 1 기,2024.07.17 ~ 2024.12.31,"-16,317,592",-,-,30,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,BS,재무상태표,차입부채,제 1 기,2024.12.31 현재,"1,547,322,815",-,-,34,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,IS,손익계산서,영업이익(손실),제 1 기,2024.07.17 ~ 2024.12.31,"-36,294,340",-,-,60,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 1 기,2024.07.17 ~ 2024.12.31,"-16,317,592",-,-,62,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,IS,손익계산서,총포괄손익,제 1 기,2024.07.17 ~ 2024.12.31,"-16,317,592",-,-,64,KRW
20250304000397,11011,2024,01866528,489210,OFS,재무제표,IS,손익계산서,영업비용,제 1 기,2024.07.17 ~ 2024.12.31,"36,294,340",-,-,66,KRW
